,cve_institucion,cve_concepto,time,value
330,21,510000000000.0,2008-04-01,135968.916187999
331,21,510000000000.0,2008-05-01,169854.384884
332,21,510000000000.0,2008-06-01,204671.045601
333,21,510000000000.0,2008-07-01,240779.064598
334,21,510000000000.0,2008-08-01,277246.497867
335,21,510000000000.0,2008-09-01,313927.237777
336,21,510000000000.0,2008-10-01,367111.982423
337,21,510000000000.0,2008-11-01,408415.548471
338,21,510000000000.0,2008-12-01,445195.976649
339,21,510000000000.0,2009-01-01,39687.914283
340,21,510000000000.0,2009-02-01,78836.360077
341,21,510000000000.0,2009-03-01,112138.583
342,21,510000000000.0,2009-04-01,145634.042371
343,21,510000000000.0,2009-05-01,182563.264073
344,21,510000000000.0,2009-06-01,213802.228781
345,21,510000000000.0,2009-07-01,244782.714833
346,21,510000000000.0,2009-08-01,274667.398516
347,21,510000000000.0,2009-09-01,306357.530566
348,21,510000000000.0,2009-10-01,338027.064103
349,21,510000000000.0,2009-11-01,369748.5929
350,21,510000000000.0,2009-12-01,400301.242079
351,21,510000000000.0,2010-01-01,31172.016281
352,21,510000000000.0,2010-02-01,60312.606573
353,21,510000000000.0,2010-03-01,91957.808509
354,21,510000000000.0,2010-04-01,122557.365148
355,21,510000000000.0,2010-05-01,153092.491102
356,21,510000000000.0,2010-06-01,184066.175016
357,21,510000000000.0,2010-07-01,214676.848239
358,21,510000000000.0,2010-08-01,246610.404086
359,21,510000000000.0,2010-09-01,277664.780675
360,21,510000000000.0,2010-10-01,309951.417747
361,21,510000000000.0,2010-11-01,342737.752401
362,21,510000000000.0,2010-12-01,375323.407987
363,21,510000000000.0,2011-01-01,32654.347426
364,21,510000000000.0,2011-02-01,63859.895442
365,21,510000000000.0,2011-03-01,97631.033025
366,21,510000000000.0,2011-04-01,130981.153653
367,21,510000000000.0,2011-05-01,164074.241853
368,21,510000000000.0,2011-06-01,197406.074437
369,21,510000000000.0,2011-07-01,232239.279143
370,21,510000000000.0,2011-08-01,267558.204457
371,21,510000000000.0,2011-09-01,303152.281149
372,21,510000000000.0,2011-10-01,341300.527125
373,21,510000000000.0,2011-11-01,376270.448586
374,21,510000000000.0,2011-12-01,413999.824613
375,21,510000000000.0,2012-01-01,38513.81706
376,21,510000000000.0,2012-02-01,74521.431441
377,21,510000000000.0,2012-03-01,112092.948462
378,21,510000000000.0,2012-04-01,149452.765214
379,21,510000000000.0,2012-05-01,187960.402952
380,21,510000000000.0,2012-06-01,225162.141668
381,21,510000000000.0,2012-07-01,264084.232642
382,21,510000000000.0,2012-08-01,303137.594448
383,21,510000000000.0,2012-09-01,341309.591398
384,21,510000000000.0,2012-10-01,381005.149097
385,21,510000000000.0,2012-11-01,421236.376994
386,21,510000000000.0,2012-12-01,462950.275979
387,21,510000000000.0,2013-01-01,40538.412695
388,21,510000000000.0,2013-02-01,78212.057367
389,21,510000000000.0,2013-03-01,118442.981032
390,21,510000000000.0,2013-04-01,158225.538729
391,21,510000000000.0,2013-05-01,201665.288408
392,21,510000000000.0,2013-06-01,241122.714869
393,21,510000000000.0,2013-07-01,281681.129599
394,21,510000000000.0,2013-08-01,322879.502037
395,21,510000000000.0,2013-09-01,363268.123417
396,21,510000000000.0,2013-10-01,404961.568897
397,21,510000000000.0,2013-11-01,445081.286249
398,21,510000000000.0,2013-12-01,488650.075866
399,21,510000000000.0,2014-01-01,42463.501144
400,21,510000000000.0,2014-02-01,81354.700195
401,21,510000000000.0,2014-03-01,123313.145241
402,21,510000000000.0,2014-04-01,164527.746545
403,21,510000000000.0,2014-05-01,206067.30528
404,21,510000000000.0,2014-06-01,247019.990912
405,21,510000000000.0,2014-07-01,287519.255052
406,21,510000000000.0,2014-08-01,328365.138175
407,21,510000000000.0,2014-09-01,369507.498481
408,21,510000000000.0,2014-10-01,412705.200011
409,21,510000000000.0,2014-11-01,456178.723973
410,21,510000000000.0,2014-12-01,502355.87521
411,21,510000000000.0,2015-01-01,44013.265831
412,21,510000000000.0,2015-02-01,86237.197849
413,21,510000000000.0,2015-03-01,125690.634664
414,21,510000000000.0,2015-04-01,168327.326268
415,21,510000000000.0,2015-05-01,210597.382903
416,21,510000000000.0,2015-06-01,253876.780402
417,21,510000000000.0,2015-07-01,297547.058728
418,21,510000000000.0,2015-08-01,342424.500233
419,21,510000000000.0,2015-09-01,386180.463063
420,21,510000000000.0,2015-10-01,431466.100394
421,21,510000000000.0,2015-11-01,476404.116406
422,21,510000000000.0,2015-12-01,521983.974804
423,21,510000000000.0,2016-01-01,49067.27457
424,21,510000000000.0,2016-02-01,96868.122931
425,21,510000000000.0,2016-03-01,147360.246404
426,21,510000000000.0,2016-04-01,195683.195496
427,21,510000000000.0,2016-05-01,245250.417038
428,21,510000000000.0,2016-06-01,294582.175297
429,21,510000000000.0,2016-07-01,347946.398873
430,21,510000000000.0,2016-08-01,403446.091636
431,21,510000000000.0,2016-09-01,458640.944628
432,21,510000000000.0,2016-10-01,514750.358219
433,21,510000000000.0,2016-11-01,576953.308969
434,21,510000000000.0,2016-12-01,638008.868833
435,21,510000000000.0,2017-01-01,59262.663619
436,21,510000000000.0,2017-02-01,116618.240621
437,21,510000000000.0,2017-03-01,180711.699629
438,21,510000000000.0,2017-04-01,242814.554971
439,21,510000000000.0,2017-05-01,306567.439522
440,21,510000000000.0,2017-06-01,369594.884319
441,21,510000000000.0,2017-07-01,435195.13232
442,21,510000000000.0,2017-08-01,501421.817747
443,21,510000000000.0,2017-09-01,567398.509114
444,21,510000000000.0,2017-10-01,634369.054161
445,21,510000000000.0,2017-11-01,702456.06142
446,21,510000000000.0,2017-12-01,770813.06782
447,21,510000000000.0,2018-01-01,71367.60789
448,21,510000000000.0,2018-02-01,136581.138799
449,21,510000000000.0,2018-03-01,208513.570507
450,21,510000000000.0,2018-04-01,279623.65604
451,21,510000000000.0,2018-05-01,353824.591364
452,21,510000000000.0,2018-06-01,426681.686026
453,21,510000000000.0,2018-07-01,493159.893822
454,21,510000000000.0,2018-08-01,569661.630837
455,21,510000000000.0,2018-09-01,643720.177167
456,21,510000000000.0,2018-10-01,722181.731045
457,21,510000000000.0,2018-11-01,799475.283728
458,21,510000000000.0,2018-12-01,882087.771036
459,21,510000000000.0,2019-01-01,80878.909116
460,21,510000000000.0,2019-02-01,154811.44777
461,21,510000000000.0,2019-03-01,237134.379971
462,21,510000000000.0,2019-04-01,316112.307949
463,21,510000000000.0,2019-05-01,399599.293675
464,21,510000000000.0,2019-06-01,477770.261131
465,21,510000000000.0,2019-07-01,559387.333537
466,21,510000000000.0,2019-08-01,644410.129201
467,21,510000000000.0,2019-09-01,722907.359029
468,21,510000000000.0,2019-10-01,803093.254213
469,21,510000000000.0,2019-11-01,883146.159374
470,21,510000000000.0,2019-12-01,963454.604508
471,21,510000000000.0,2020-01-01,80647.828552
472,21,510000000000.0,2020-02-01,160667.268348
473,21,510000000000.0,2020-03-01,256971.815197
474,21,510000000000.0,2020-04-01,330400.408324
475,21,510000000000.0,2020-05-01,402281.728335
476,21,510000000000.0,2020-06-01,470896.545935
477,21,510000000000.0,2020-07-01,540079.700161
478,21,510000000000.0,2020-08-01,609002.813629
479,21,510000000000.0,2020-09-01,676856.374902
480,21,510000000000.0,2020-10-01,742807.005899
481,21,510000000000.0,2020-11-01,807588.323748
482,21,510000000000.0,2020-12-01,873880.841286
483,21,510000000000.0,2021-01-01,67158.026474
484,21,610000000000.0,2000-12-01,274705.745822
485,21,610000000000.0,2001-01-01,24844.671986
486,21,610000000000.0,2001-02-01,47579.429207
487,21,610000000000.0,2001-03-01,71780.016172
488,21,610000000000.0,2001-04-01,92355.958756
489,21,610000000000.0,2001-05-01,112258.127843
490,21,610000000000.0,2001-06-01,127939.783987
491,21,610000000000.0,2001-07-01,143032.497246
492,21,610000000000.0,2001-08-01,156709.640535
493,21,610000000000.0,2001-09-01,171819.905315
494,21,610000000000.0,2001-10-01,166048.45826
495,21,610000000000.0,2001-11-01,169852.424466
496,21,610000000000.0,2001-12-01,180277.602834
497,21,610000000000.0,2002-01-01,11660.198208
498,21,610000000000.0,2002-02-01,20635.205338
499,21,610000000000.0,2002-03-01,31689.597591
500,21,610000000000.0,2002-04-01,41466.249818
501,21,610000000000.0,2002-05-01,51855.182078
502,21,610000000000.0,2002-06-01,62713.169463
503,21,610000000000.0,2002-07-01,73883.8983
504,21,610000000000.0,2002-08-01,83690.166752
505,21,610000000000.0,2002-09-01,94584.569747
506,21,610000000000.0,2002-10-01,105684.462284
507,21,610000000000.0,2002-11-01,113030.114938
508,21,610000000000.0,2002-12-01,124684.679248999
509,21,610000000000.0,2003-01-01,11333.848045
510,21,610000000000.0,2003-02-01,22485.46496
511,21,610000000000.0,2003-03-01,35935.623316
512,21,610000000000.0,2003-04-01,47602.593841
513,21,610000000000.0,2003-05-01,59062.234399
514,21,610000000000.0,2003-06-01,67509.490938
515,21,610000000000.0,2003-07-01,138428.967389
516,21,610000000000.0,2003-08-01,152653.672024
517,21,610000000000.0,2003-09-01,92569.848979
518,21,610000000000.0,2003-10-01,102010.360295
519,21,610000000000.0,2003-11-01,106571.173051
520,21,610000000000.0,2003-12-01,108179.47742
521,21,610000000000.0,2004-01-01,7864.943503
522,21,610000000000.0,2004-02-01,15434.138413
523,21,610000000000.0,2004-03-01,25013.235681
524,21,610000000000.0,2004-04-01,33616.859236
525,21,610000000000.0,2004-05-01,42499.497026
526,21,610000000000.0,2004-06-01,51256.887963
527,21,610000000000.0,2004-07-01,60306.697115
528,21,610000000000.0,2004-08-01,70040.329718
529,21,610000000000.0,2004-09-01,77985.153428
530,21,610000000000.0,2004-10-01,89003.030707
531,21,610000000000.0,2004-11-01,100588.982586
532,21,610000000000.0,2004-12-01,113541.415321
533,21,610000000000.0,2005-01-01,12037.929605
534,21,610000000000.0,2005-02-01,23293.962174
535,21,610000000000.0,2005-03-01,36926.512388
536,21,610000000000.0,2005-04-01,50571.163784
537,21,610000000000.0,2005-05-01,65306.307829
538,21,610000000000.0,2005-06-01,79185.191004
539,21,610000000000.0,2005-07-01,94058.288374
540,21,610000000000.0,2005-08-01,109623.0371
541,21,610000000000.0,2005-09-01,127158.066149
542,21,610000000000.0,2005-10-01,142508.45124
543,21,610000000000.0,2005-11-01,157799.085198
544,21,610000000000.0,2005-12-01,172728.056738
545,21,610000000000.0,2006-01-01,13889.813353
546,21,610000000000.0,2006-02-01,25977.315562
547,21,610000000000.0,2006-03-01,23901.162222
548,21,610000000000.0,2006-04-01,51111.680057
549,21,610000000000.0,2006-05-01,63778.410468
550,21,610000000000.0,2006-06-01,76113.860261
551,21,610000000000.0,2006-07-01,88912.922894
552,21,610000000000.0,2006-08-01,100936.899915
553,21,610000000000.0,2006-09-01,113700.783496
554,21,610000000000.0,2006-10-01,127655.05882
555,21,610000000000.0,2006-11-01,140531.54756
556,21,610000000000.0,2006-12-01,154434.63494
557,21,610000000000.0,2007-01-01,13287.712001
558,21,610000000000.0,2007-02-01,25558.982236
559,21,610000000000.0,2007-03-01,39099.676851
560,21,610000000000.0,2007-04-01,52120.352847
561,21,610000000000.0,2007-05-01,65922.982028
562,21,610000000000.0,2007-06-01,79852.392813
563,21,610000000000.0,2007-07-01,94863.503446
564,21,610000000000.0,2007-08-01,110892.796974
565,21,610000000000.0,2007-09-01,125982.314216
566,21,610000000000.0,2007-10-01,142521.905468
567,21,610000000000.0,2007-11-01,159046.765668
568,21,610000000000.0,2007-12-01,176106.563917
569,21,610000000000.0,2008-01-01,16368.295279
570,21,610000000000.0,2008-02-01,31709.379337
